NU_ANO_CENSO;NO_REGIAO;CO_REGIAO;NO_UF;SG_UF;CO_UF;NO_MUNICIPIO;CO_MUNICIPIO;NO_REGIAO_GEOG_INTERM;CO_REGIAO_GEOG_INTERM;NO_REGIAO_GEOG_IMED;CO_REGIAO_GEOG_IMED;NO_MESORREGIAO;CO_MESORREGIAO;NO_DISTRITO;CO_DISTRITO;NO_ENTIDADE;CO_ENTIDADE;TP_DEPENDENCIA;TP_CATEGORIA_ESCOLA_PRIVADA;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;DV_ENTIDADE;COD_ENTIDADE
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CE NAZIRA SALOMAO;33036594;2;;1;0.0;0;330365940
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CENTRO EDUC LEONE ALMEIDA JD INF MUNDO M;33036616;4;1.0;1;0.0;0;330366160
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CIEP 055 JOAO GREGORIO GALINDO;33036632;2;;1;0.0;0;330366320
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CE DOUTOR ARTUR VARGAS;33036640;2;;1;0.0;0;330366400
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;COLEGIO JEAN PIAGET;33036659;4;1.0;1;0.0;0;330366590
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;COLEGIO NAVAL;33036667;1;;1;0.0;0;330366670
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;COLEGIO OSVALDO AFONSO;33036675;4;1.0;1;0.0;0;330366750
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CEMEI MARIA LUCIA CARDOSO PEREIRA;33036683;3;;1;0.0;0;330366830
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CE CONDE PEREIRA CARNEIRO;33036691;2;;1;0.0;0;330366910
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CE HONORIO LIMA;33036713;2;;1;0.0;0;330367130
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CETI EM ALBERTO TORRES;33036730;3;;2;0.0;0;330367300
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;EM ALEXINA LOWNDES;33036748;3;;1;0.0;0;330367480
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CETI EM ANTONIO JOAQUIM DE OLIVEIRA;33036756;3;;1;0.0;0;330367560
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;EM BENEDITO DOS SANTOS BARBOSA;33036764;3;;1;0.0;0;330367640
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;EM PROF AMELIA ARAUJO LAGE;33036772;3;;1;0.0;0;330367720
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;EM DR LAURO TRAVASSOS;33036780;3;;2;0.0;0;330367800
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;EM FREI FERNANDO GEURTSE;33036799;3;;1;0.0;0;330367990
2024;Sudeste;3;Rio de Janeiro;RJ;33;Angra dos Reis;3300100;Rio de Janeiro;3301;Angra dos Reis;330002;Sul Fluminense;5;Angra dos Reis;330010005;CETI EM FRANCISCO XAVIER BOTELHO;33036802;3;;1;0.0;0;330368020
